GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACA 1095B - Common Module,us.deloitteinnovation.aca,JpaConfiguration,44,145,0,0,12,36,2,8,2,8
ACA 1095B - Common Module,us.deloitteinnovation.aca,LocalJpaConfiguration,0,8,0,0,0,2,0,2,0,2
ACA 1095B - Common Module,us.deloitteinnovation.aca,PrintVendorFileIngestionConfiguration,139,323,2,0,34,34,7,11,6,11
ACA 1095B - Common Module,us.deloitteinnovation.aca,CommonConfiguration,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.aca,PrintVendorFileIngestionJobConfiguration,0,7,0,0,0,2,0,2,0,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.util,Convert,160,31,24,4,38,8,14,3,2,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.constants,BatchQueryConstants,349,0,0,0,133,0,1,0,1,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.constants,BatchExportConstants,178,0,40,0,31,0,28,0,6,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.constants,Months,180,0,4,0,10,0,7,0,5,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.constants,FileIngestionConstants,4,0,0,0,1,0,1,0,1,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.export,IRSXmlEntityMapper,31,0,0,0,7,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorFilerCoveredPersonServiceImpl,76,0,0,0,17,0,4,0,4,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,BatchInfoServiceImpl,33,3,0,0,8,1,7,1,7,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorExceptionReportServiceImpl,30,3,0,0,9,1,7,1,7,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,FilerCoveredPersonServiceImpl,66,0,0,0,17,0,4,0,4,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorFileIngestionServiceImpl,210,10,0,0,45,3,4,2,4,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorFileImportMailerServiceImpl,132,7,10,0,26,2,6,2,1,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorFileIngestionServiceImpl.new ParameterizedPreparedStatementSetter() {...},12,0,0,0,3,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.service.impl,PrintVendorFileIngestionServiceImpl.new ParameterizedPreparedStatementSetter() {...},12,0,0,0,3,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerExportPrintVendorMapper,348,7,6,0,62,2,5,2,2,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,CoveredPerson,196,0,6,0,74,0,48,0,45,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerCoverageMapper,89,0,0,0,19,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerWithExportCountCoveredMapper,13,3,0,0,3,1,1,1,1,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,SourceSystemConfig,238,0,0,0,95,0,64,0,64,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,SourceCoverMessageMapper,59,0,10,0,13,0,7,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,PdfForm,125,0,0,0,54,0,35,0,35,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerWithExportCountCoveredPrintVendorMapper,13,3,0,0,3,1,1,1,1,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerWithCountCoveredMapper,28,7,2,0,8,2,4,2,3,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,PdfModel,45,0,2,0,16,0,12,0,11,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerMapper,354,15,8,2,63,5,5,4,1,3
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,PdfModelMapper,30,0,0,0,7,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,Filer,521,0,8,0,202,0,133,0,129,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,CoveredPersonMapper,396,0,96,0,51,0,50,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerCoverage,136,0,0,0,58,0,39,0,39,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,SourceSystemConfigMapper,157,3,0,0,32,1,1,1,1,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,SourceCoverMessage,59,0,6,0,16,0,14,0,11,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.model,FilerExportMapper,328,7,6,0,58,2,5,2,2,2
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,TestProfileProperties,0,11,0,0,0,4,0,2,0,2
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,ProdProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,QaProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,DevProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,PreProdProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,LocalProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,ProdProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,QaProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,DryrunProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,DevProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,TestProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,LocalProfileProperties.properties,0,3,0,0,0,1,0,1,0,1
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,DryrunProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.profile.internal,PreProdProfileProperties,11,0,0,0,4,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.mapper,DefaultLineMapper,23,12,0,0,7,4,5,2,5,2
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.mapper,ApplicationMapper,580,3,42,0,119,1,26,1,5,1
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.mapper,SourceUniqueIdFDMapper,21,0,0,0,6,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.mapper,FilerDemographicsMapper,123,0,0,0,29,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.mapper,PrintVendorExceptionReportMapper,146,0,2,0,30,0,5,0,4,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.utils,BatchUtils,1664,0,398,0,379,0,259,0,49,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.exceptions,BatchException,11,0,0,0,5,0,3,0,3,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.repository,IrsRecordDetails1095BJdbcRepository,241,0,18,0,51,0,15,0,6,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.repository,PrintVendorUpdateBatchSetter,56,0,0,0,14,0,4,0,4,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.repository,PrintVendorJdbcRepository.new BatchPreparedStatementSetter() {...},88,0,0,0,16,0,3,0,3,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.repository,PrintVendorUpdateCOMBatchSetter,66,0,0,0,16,0,4,0,4,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.repository,PrintVendorJdbcRepository,104,0,2,0,25,0,7,0,6,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.dao.impl,FilerCoverageDaoImpl.new ParameterizedPreparedStatementSetter() {...},12,0,0,0,3,0,2,0,2,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.dao.impl,PrintVendorExceptionReportDaoImpl.new BatchPreparedStatementSetter() {...},41,0,0,0,8,0,3,0,3,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.dao.impl,FilerDemographicsDaoImpl,617,0,2,0,122,0,15,0,14,0
ACA 1095B - Common Module,us.deloitteinnovation.aca.batch.dao.impl,FilerCoverageDaoImpl,363,0,8,0,74,0,11,0,7,0
