GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACA 1095B - Export Module,us.gov.treasury.irs.common,USStateCdType,534,0,0,0,55,0,6,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ReportPeriodDateType,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,EmployerMECErrorDtlType,28,0,2,0,10,0,7,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ACAReportingServiceDetailType,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ExemptionErrorDtlType,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,SHOPEmployerInfoErrorDtlType,28,0,2,0,10,0,7,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,AssociatedPolicyErrorDtlType,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,SubmissionValidationCdType,74,0,4,0,11,0,8,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,BinaryFormatCodeType,63,0,4,0,10,0,8,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,EmployeeSHOPPolicyType,49,0,2,0,19,0,13,0,12,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,SHOPEmployerErrorDtlType,43,0,6,0,13,0,9,0,6,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,EPDPersonType,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ACABatchDetailType,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ACABatchManifestDetailType,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,SHOPExchangeErrorType,32,0,4,0,10,0,7,0,5,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,PrimaryInfoErrorsGrpType,32,0,4,0,10,0,7,0,5,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ForeignAddressErrorDtlType,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ACAAttachmentDetailType,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Export Module,us.gov.treasury.irs.common,ACABatchManifestDetailListType,14,0,2,0,4,0,3,0,2,0
