GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.acabusinessheader,ObjectFactory,25,0,0,0,6,0,4,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095bctransmittermessage,ObjectFactory,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095bctransmittermessage.impl,FormBCTransmitterSubmissionDtlImpl,0,11,0,0,0,4,0,3,0,3
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095bctransmittermessage.impl,ObjectFactory,7,0,0,0,3,0,2,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095bctransmittermessage.impl,JAXBContextFactory,135,0,12,0,31,0,10,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095bctransmittermessage.impl,JAXBContextFactory.new PrivilegedAction() {...},10,0,0,0,2,0,2,0,2,0
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.constants,IrsErrorReportingContants,3,0,0,0,1,0,1,0,1,0
ACA 1095B - Error Reporting,org.oasis_open.docs.wss._2004._01.oasis_200401_wss_wssecurity_utility_1_0,ObjectFactory,48,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.acauibusinessheader,ObjectFactory,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095ctransmitterupstreammessage,ObjectFactory,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095btransmitterupstreammessage.impl,ObjectFactory,7,0,0,0,3,0,2,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095btransmitterupstreammessage.impl,Form109495BTransmittalUpstreamImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095btransmitterupstreammessage.impl,JAXBContextFactory.new PrivilegedAction() {...},10,0,0,0,2,0,2,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.msg.form1094_1095btransmitterupstreammessage.impl,JAXBContextFactory,135,0,12,0,31,0,10,0,4,0
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.dto,ErrorDetailsDTO,13,35,0,0,5,13,4,7,4,7
ACA 1095B - Error Reporting,us.deloitteinnovation.aca.batch.dto,TransmitterErrorDetailGrpDTO,35,13,0,0,15,5,10,3,10,3
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TINValidateNameResponseDetailTypeImpl,30,0,2,0,10,0,7,0,6,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ALEMemberMonthlyInfoGrpTypeImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndvidualMonthlyDetailGrpImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,USAddressGrpImpl,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TransmitterRecordDetailImpl,77,0,2,0,31,0,21,0,20,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthIndicatorDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CompletePersonNameDetailTypeImpl,22,0,2,0,7,0,5,0,4,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployerInformationGrpImpl,55,0,0,0,22,0,15,0,15,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlyPolicyInformationDetailTypeImpl,35,0,2,0,13,0,9,0,8,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthPolicyTotalAmountsDetailImpl,18,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,OtherCompletePersonNameTypeImpl,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkReqTrnsmtRespGrpHeaderImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeOfferAndCoverageGrpImpl,48,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,NameControlTypeImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployeeCoverageImpl,40,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,Form1095CUpstreamDetailImpl,101,0,2,0,40,0,27,0,26,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlyIndicatorGrpTypeImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientPolicyDetailImpl,42,0,2,0,16,0,11,0,10,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABulkReqTrnsmtStsRespGrpDtlImpl,10,0,0,0,4,0,3,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,InsuranceCoverageImpl,77,0,2,0,31,0,21,0,20,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,NameControlValResultDetailImpl,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientSpouseDetailImpl,44,0,2,0,16,0,11,0,10,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthCountDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividual1095BDetailImpl,66,0,2,0,25,0,17,0,16,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TransmissionDetailImpl,49,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterManifestRespDtlImpl,81,0,0,0,34,0,23,0,23,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,GovtEntityEmployerInfoGrpImpl,55,0,0,0,22,0,15,0,15,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TotalMonthlyCountsGrpTypeImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientPolicyCoverageDtlImpl,31,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,RecipientDetailImpl,52,0,2,0,19,0,13,0,12,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterManifestReqDtlImpl,147,0,0,0,60,0,40,0,40,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CompanyInformationGrpImpl,33,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABatchDetailTypeImpl,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TINValidateNameRequestDetailImpl,24,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACABatchSubmsnReqGrpHeaderTypeImpl,38,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,BusinessNameTypeImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividual1095BGrpImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,AmountByMonthDetailTypeImpl,87,0,0,0,37,0,25,0,25,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,SponsoringEmployerInfoGrpImpl,40,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ExemptionCoverageImpl,39,0,0,0,16,0,11,0,11,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,OtherALEMembersGrpImpl,32,0,0,0,13,0,9,0,9,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACAAttachmentDetailTypeImpl,45,0,0,0,19,0,13,0,13,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,TransmitterErrorDetailGrpImpl,11,31,1,1,5,11,4,7,3,7
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,InsurancePolicyImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EPDPersonTypeImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,ACATransmitterRequestAckGrpImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CorrectedRecordInfoGrpImpl,25,0,0,0,10,0,7,0,7,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthlyCoveredIndivIndGrpTypeImpl,25,0,4,0,7,0,5,0,3,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoverageHouseholdImpl,14,0,2,0,4,0,3,0,2,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,CoveredIndividualGrpImpl,54,0,0,0,22,0,15,0,15,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,EmployerDetailImpl,66,0,2,0,25,0,17,0,16,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,MonthAmountDetailImpl,17,0,0,0,7,0,5,0,5,0
ACA 1095B - Error Reporting,us.gov.treasury.irs.ext.aca.air._7.impl,BusinessAddressGrpTypeImpl,19,0,0,0,7,0,5,0,5,0
